,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
95,COIN,"Coinbase Global, Inc.",,189.75 +8.61 (+4.75%),8.61,+4.75%,7.673M,9.063M,48.174B,20.04,-29.48%,
96,TSLA,"Tesla, Inc.",,235.86 +10.55 (+4.68%),10.55,+4.68%,110.645M,88.604M,758.648B,115.05,28.26%,
97,RDNT,"RadNet, Inc.",,50.71 +2.26 (+4.66%),2.26,+4.66%,1.205M,864075,3.755B,1267.75,2.63%,
98,PAYO,Payoneer Global Inc.,,7.64 +0.34 (+4.66%),0.34,+4.66%,2.911M,3.223M,2.749B,24.65,52.08%,
99,CRGY,Crescent Energy Company,,11.72 +0.52 (+4.64%),0.52,+4.64%,2.923M,3.269M,3.029B,-,-2.44%,
100,CCL,Carnival Corporation & plc,,21.05 +0.93 (+4.62%),0.93,+4.62%,27.219M,22.974M,28.457B,14.62,19.41%,
101,SHAK,Shake Shack Inc.,,89.74 +3.96 (+4.62%),3.96,+4.62%,1.064M,1.393M,3.817B,373.92,-21.46%,
102,GAP,"The Gap, Inc.",,20.21 +0.89 (+4.61%),0.89,+4.61%,9.29M,6.423M,7.622B,9.19,-28.42%,
103,LLYVA,Liberty Live Group,,66.10 +2.89 (+4.57%),2.89,+4.57%,90841,121600,6.2B,-,53.83%,
104,BURL,"Burlington Stores, Inc.",,244.58 +10.68 (+4.57%),10.68,+4.57%,977063,1.069M,15.459B,31.40,2.48%,
105,CMBT,Cmb.Tech NV,,9.85 +0.43 (+4.56%),0.43,+4.56%,80592,87650,1.959B,2.22,-35.87%,
106,MMYT,MakeMyTrip Limited,,100.11 +4.35 (+4.54%),4.35,+4.54%,607705,810553,10.99B,52.41,42.37%,
107,TBBK,"The Bancorp, Inc.",,54.96 +2.38 (+4.53%),2.38,+4.53%,736587,483317,2.642B,12.81,47.08%,
108,VSEC,VSE Corporation,,120.76 +5.21 (+4.51%),5.21,+4.51%,219904,256344,2.488B,59.49,44.26%,
109,SRUUF,Sprott Physical Uranium Trust Fund,,14.62 +0.63 (+4.50%),0.63,+4.50%,98070,565777,3.918B,2.04,-33.95%,
110,LLYVK,Liberty Live Group,,67.42 +2.90 (+4.49%),2.9,+4.49%,355469,333732,6.195B,-,52.71%,
111,IOT,Samsara Inc.,,39.82 +1.71 (+4.49%),1.71,+4.49%,4.713M,3.761M,22.347B,-,5.86%,
112,ADT,ADT Inc.,,7.92 +0.34 (+4.49%),0.34,+4.49%,19.549M,10.253M,6.784B,12.00,13.13%,
113,RKLB,"Rocket Lab USA, Inc.",,18.78 +0.80 (+4.45%),0.8,+4.45%,11.831M,19.234M,8.518B,-,346.15%,
114,EXPE,"Expedia Group, Inc.",,172.48 +7.32 (+4.43%),7.32,+4.43%,2.115M,2.073M,22.225B,19.27,19.59%,
115,APO,"Apollo Global Management, Inc.",,143.40 +5.96 (+4.34%),5.96,+4.34%,4.756M,5.083M,81.807B,19.56,22.02%,
116,GSAT,"Globalstar, Inc.",,21.70 +0.92 (+4.43%),0.92,+4.43%,694232,956212,2.744B,-,-5.11%,
117,DKNG,DraftKings Inc.,,38.54 +1.63 (+4.42%),1.63,+4.42%,9.143M,10.195M,18.883B,-,-20.23%,
118,CIVI,"Civitas Resources, Inc.",,36.19 +1.52 (+4.38%),1.52,+4.38%,1.984M,1.774M,3.366B,4.28,-53.92%,
119,CNK,"Cinemark Holdings, Inc.",,26.10 +1.09 (+4.36%),1.09,+4.36%,4.559M,3.279M,3.192B,12.67,39.88%,
120,BWIN,"The Baldwin Insurance Group, Inc.",,43.29 +1.80 (+4.34%),1.8,+4.34%,694779,523239,2.95B,-,37.43%,
121,UAL,"United Airlines Holdings, Inc.",,74.43 +3.09 (+4.33%),3.09,+4.33%,7.103M,7.31M,24.364B,7.88,55.15%,
122,VST,Vistra Corp.,,129.85 +5.39 (+4.33%),5.39,+4.33%,5.108M,8.861M,44.014B,18.58,86.46%,
123,AROC,"Archrock, Inc.",,26.82 +1.11 (+4.32%),1.11,+4.32%,1.731M,1.409M,4.707B,25.54,33.28%,
124,DNB,"Dun & Bradstreet Holdings, Inc.",,8.70 +0.36 (+4.32%),0.36,+4.32%,5.668M,3.819M,3.841B,-,-16.77%,
125,RSI,"Rush Street Interactive, Inc.",,11.12 +0.46 (+4.32%),0.46,+4.32%,1.758M,2.098M,2.536B,370.67,74.18%,
